Dataset: Southeast US Fall,,,,,,
Species Name: Atlantic brief squid (Lolliguncula brevis),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
1989323,57,33.712,-77.885,7,1989,0
1989325,57,33.738,-77.893,7,1989,0.0138848953475134
1989327,57,33.91,-77.91,8,1989,0
1989329,59,34.042,-77.86,9,1989,0.0065269370650159
1989335,67,35.088,-75.932,8,1989,0.0796601284808513
1989337,65,34.982,-76.107,7,1989,0.134562973469366
1989339,65,34.803,-76.33,8,1989,0.174845664897767
1989343,63,34.498,-76.495,7,1989,0
1989347,63,34.653,-76.617,6,1989,0.266604153593036
1989353,61,34.613,-77.123,9,1989,0.0534983909480585
1989371,55,33.77,-77.958,8,1989,0.0092022939505789
1989375,55,33.897,-78.213,7,1989,0.575698724064266
1989379,47,32.912,-79.437,8,1989,0.685099594349195
1989381,49,32.997,-79.26,9,1989,0.216965321514894
1989383,49,33.05,-79.1,8,1989,0.377656256095921
1989385,49,33.137,-79.148,8,1989,0.15997587028473
1989387,55,33.887,-78.343,8,1989,0.173483991764722
1989393,53,33.818,-78.553,8,1989,0.258181499608836
1989395,53,33.79,-78.637,9,1989,1.18498566311766
1989397,53,33.783,-78.683,9,1989,0.5267037923853
1989399,49,33.198,-79.115,8,1989,0.602887512859203
1989401,49,33.22,-79.137,7,1989,0.61372030463207
1989403,51,33.303,-79.122,8,1989,0.575987370423462
1989405,51,33.325,-79.12,8,1989,0.794000564686453
1989407,51,33.345,-79.118,7,1989,0.578402039010645
1989409,51,33.353,-79.108,8,1989,0.666508129686606
1989411,51,33.37,-79.12,7,1989,0.474466578301393
1989413,51,33.32,-79.12,8,1989,0.447004816760122
1989423,47,32.838,-79.648,7,1989,0.31946685418212
1989425,47,32.81,-79.672,7,1989,0.296133255499711
1989427,45,32.597,-79.95,6,1989,0.236557712023329
1989437,43,32.492,-80.18,8,1989,0.322952757252576
1989445,29,30.333,-81.382,8,1989,0.912257866071905
1989455,21,28.925,-80.807,6,1989,0.853023832794543
1989459,23,28.947,-80.82,9,1989,0.288307509424339
1989461,25,29.232,-80.997,6,1989,0.308261325535842
1989465,27,29.602,-81.17,8,1989,0.534468374483905
1989469,31,30.753,-81.432,7,1989,0.388929662339829
1989471,31,30.777,-81.397,6,1989,0.463773514432473
1989473,33,30.883,-81.312,8,1989,0.0540825897274287
1989475,33,30.917,-81.308,7,1989,0.0656215511487562
1989485,33,31.043,-81.297,8,1989,0.256928903021651
1989493,35,31.297,-81.2,7,1989,0.732104910524826
1989495,35,31.377,-81.158,8,1989,0.296858997077828
1989497,37,31.432,-81.103,9,1989,0.0735189991463976
1989499,37,31.583,-81.088,6,1989,0.643339915500985
1989501,37,31.583,-81.067,8,1989,0.509103214007121
1989511,39,31.843,-80.897,8,1989,1.72593361855975
1989515,39,31.97,-80.752,10,1989,1.15197346901082
1989521,41,32.238,-80.53,5,1989,0.722369997198979
