Dataset: Southeast US Spring,,,,,,
Species Name: Atlantic brief squid (Lolliguncula brevis),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
1989001,43,32.395,-80.288,7,1989,0.125170792610776
1989003,43,32.492,-80.178,9,1989,0.0002445704047246
1989015,45,32.597,-79.95,6,1989,0.047092063362495
1989017,57,33.713,-77.887,7,1989,0
1989019,57,33.737,-77.897,6,1989,0
1989021,57,33.91,-77.913,7,1989,0
1989023,59,34.048,-77.88,8,1989,0
1989037,63,34.652,-76.618,8,1989,0.0027490086360402
1989039,63,34.507,-76.498,8,1989,0.0060853379910134
1989045,49,33.137,-79.15,6,1989,0.127703169938882
1989049,49,33.05,-79.1,7,1989,0
1989051,49,32.983,-79.268,8,1989,0.1314208592107
1989053,47,32.912,-79.438,8,1989,0.385720121569685
1989059,47,32.807,-79.673,6,1989,0.135500575699656
1989063,21,28.922,-80.807,6,1989,0.0109181487886018
1989065,23,28.947,-80.822,8,1989,0
1989069,25,29.233,-80.997,6,1989,0.0543825569357756
1989073,27,29.598,-81.17,8,1989,0.030238744555002
1989077,33,30.883,-81.312,9,1989,0.397870847700635
1989079,33,30.917,-81.31,8,1989,0.184295250335339
1989081,33,31.042,-81.3,7,1989,0.0739738464564091
1989085,35,31.308,-81.2,5,1989,0.0291120693927687
1989089,55,33.783,-77.967,8,1989,0.0288753694921659
1989091,55,33.627,-77.87,7,1989,0.0053091771157315
1989099,61,34.612,-77.122,7,1989,0
1989107,55,33.888,-78.342,8,1989,0.202229473400724
1989113,53,33.818,-78.555,9,1989,0
1989115,53,33.788,-78.638,8,1989,0
1989117,53,33.783,-78.682,8,1989,0.0534480312248263
1989125,39,31.97,-80.75,10,1989,0
1989129,39,31.852,-80.887,7,1989,0.0429697890396354
1989139,29,30.33,-81.382,8,1989,0.0119240676767161
1989149,31,30.752,-81.435,7,1989,0.0774956832029523
1989151,31,30.775,-81.4,6,1989,0.0319669755456766
1989155,41,32.237,-80.53,7,1989,0.0326936764816212
1989157,41,32.277,-80.467,6,1989,0.0043981322382898
1989161,51,33.443,-79.043,7,1989,0
1989163,51,33.372,-79.12,6,1989,0.055287464607502
1989165,51,33.353,-79.105,7,1989,0
1989167,51,33.347,-79.12,8,1989,0
1989177,51,33.325,-79.12,7,1989,0
1989179,51,33.302,-79.122,9,1989,0.0309391299267466
1989181,49,33.22,-79.138,7,1989,0.0455564536222274
1989183,49,33.2,-79.113,8,1989,0.192861713311458
1989197,35,31.378,-81.157,7,1989,0.0128977989113683
1989199,37,31.432,-81.107,8,1989,0
1989201,37,31.583,-81.088,7,1989,0
1989203,47,32.84,-79.647,6,1989,0
1989205,37,31.583,-81.065,7,1989,0.0437408009494871
1990001,47,32.807,-79.673,5,1990,0.218647158389027
1990003,47,32.84,-79.647,6,1990,0.236387239122727
1990005,47,32.888,-79.517,6,1990,0.0441747735773071
1990007,47,32.91,-79.438,8,1990,0.251623491149378
1990009,49,32.947,-79.388,7,1990,0.252225269611012
1990011,49,32.987,-79.267,9,1990,0.438625591656532
1990013,55,33.78,-77.963,8,1990,0.0489871578811219
1990015,55,33.897,-78.21,8,1990,0.422479690519465
