Dataset: Southeast US Fall,,,,,,
Species Name: Loligo squid (Loligo spp.),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
1989323,57,33.712,-77.885,7,1989,0.178237777497328
1989325,57,33.738,-77.893,7,1989,0
1989327,57,33.91,-77.91,8,1989,0
1989329,59,34.042,-77.86,9,1989,0.0054391142208466
1989335,67,35.088,-75.932,8,1989,2.63866907332922
1989337,65,34.982,-76.107,7,1989,1.33751778239232
1989339,65,34.803,-76.33,8,1989,0.479797074557697
1989343,63,34.498,-76.495,7,1989,0.0241365917599646
1989347,63,34.653,-76.617,6,1989,0.0024187876838077
1989353,61,34.613,-77.123,9,1989,0.09377246053817
1989371,55,33.77,-77.958,8,1989,0.0017254301157335
1989375,55,33.897,-78.213,7,1989,0.0215448608657645
1989379,47,32.912,-79.437,8,1989,0
1989381,49,32.997,-79.26,9,1989,0
1989383,49,33.05,-79.1,8,1989,0
1989385,49,33.137,-79.148,8,1989,0
1989387,55,33.887,-78.343,8,1989,0
1989393,53,33.818,-78.553,8,1989,0
1989395,53,33.79,-78.637,9,1989,0
1989397,53,33.783,-78.683,9,1989,0
1989399,49,33.198,-79.115,8,1989,0
1989401,49,33.22,-79.137,7,1989,0
1989403,51,33.303,-79.122,8,1989,0
1989405,51,33.325,-79.12,8,1989,0
1989407,51,33.345,-79.118,7,1989,0.0069718102916461
1989409,51,33.353,-79.108,8,1989,0
1989411,51,33.37,-79.12,7,1989,0
1989413,51,33.32,-79.12,8,1989,0
1989423,47,32.838,-79.648,7,1989,0
1989425,47,32.81,-79.672,7,1989,0
1989427,45,32.597,-79.95,6,1989,0
1989437,43,32.492,-80.18,8,1989,0
1989445,29,30.333,-81.382,8,1989,0
1989455,21,28.925,-80.807,6,1989,0
1989459,23,28.947,-80.82,9,1989,0
1989461,25,29.232,-80.997,6,1989,0
1989465,27,29.602,-81.17,8,1989,0
1989469,31,30.753,-81.432,7,1989,0
1989471,31,30.777,-81.397,6,1989,0
1989473,33,30.883,-81.312,8,1989,0
1989475,33,30.917,-81.308,7,1989,0
1989485,33,31.043,-81.297,8,1989,0
1989493,35,31.297,-81.2,7,1989,0
1989495,35,31.377,-81.158,8,1989,0.763975360126763
1989497,37,31.432,-81.103,9,1989,0.226349403432545
1989499,37,31.583,-81.088,6,1989,0
1989501,37,31.583,-81.067,8,1989,0
1989511,39,31.843,-80.897,8,1989,0.0479561935409286
1989515,39,31.97,-80.752,10,1989,0.0286701917175339
1989521,41,32.238,-80.53,5,1989,0
1989523,41,32.275,-80.467,5,1989,0
1989525,41,32.295,-80.38,8,1989,0
1989529,43,32.397,-80.283,9,1989,0
1990371,57,33.715,-77.885,8,1990,0
1990373,57,33.738,-77.895,8,1990,0
1990375,57,33.793,-77.913,8,1990,0.0015526437009474
1990377,57,33.912,-77.912,8,1990,0.0061275091749846
1990379,59,34.048,-77.88,9,1990,0.0037289395958463
1990381,47,32.808,-79.672,6,1990,0
1990383,47,32.838,-79.648,6,1990,0
1990385,47,32.888,-79.513,6,1990,0
1990387,47,32.91,-79.438,8,1990,0.10950352558809
1990389,49,32.948,-79.388,7,1990,0
