Dataset: Southeast US Spring,,,,,,
Species Name: Loligo squid (Loligo spp.),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
1989001,43,32.395,-80.288,7,1989,0
1989003,43,32.492,-80.178,9,1989,0
1989015,45,32.597,-79.95,6,1989,0
1989017,57,33.713,-77.887,7,1989,0
1989019,57,33.737,-77.897,6,1989,0
1989021,57,33.91,-77.913,7,1989,0
1989023,59,34.048,-77.88,8,1989,0
1989037,63,34.652,-76.618,8,1989,0.0017493691320256
1989039,63,34.507,-76.498,8,1989,0.0088514007142013
1989045,49,33.137,-79.15,6,1989,0
1989049,49,33.05,-79.1,7,1989,0.0214633273860374
1989051,49,32.983,-79.268,8,1989,0.228068884077713
1989053,47,32.912,-79.438,8,1989,0.183815926121929
1989059,47,32.807,-79.673,6,1989,0.287301972536113
1989063,21,28.922,-80.807,6,1989,0
1989065,23,28.947,-80.822,8,1989,0
1989069,25,29.233,-80.997,6,1989,0
1989073,27,29.598,-81.17,8,1989,0
1989077,33,30.883,-81.312,9,1989,0.74561623427363
1989079,33,30.917,-81.31,8,1989,1.28443081197015
1989081,33,31.042,-81.3,7,1989,0.0372255485393543
1989085,35,31.308,-81.2,5,1989,0.0083177341122196
1989089,55,33.783,-77.967,8,1989,0
1989091,55,33.627,-77.87,7,1989,0.0233013884523774
1989099,61,34.612,-77.122,7,1989,0.0138039889833653
1989107,55,33.888,-78.342,8,1989,0.0466683400155517
1989113,53,33.818,-78.555,9,1989,0
1989115,53,33.788,-78.638,8,1989,0.0696989139214143
1989117,53,33.783,-78.682,8,1989,0.0116755408015397
1989125,39,31.97,-80.75,10,1989,0.0219629442175663
1989129,39,31.852,-80.887,7,1989,0
1989139,29,30.33,-81.382,8,1989,0.0126851783794852
1989149,31,30.752,-81.435,7,1989,0.0114714004741212
1989151,31,30.775,-81.4,6,1989,0
1989155,41,32.237,-80.53,7,1989,0.0583815651457521
1989157,41,32.277,-80.467,6,1989,0.564812771654067
1989161,51,33.443,-79.043,7,1989,0.122241961567753
1989163,51,33.372,-79.12,6,1989,0.0779050637651165
1989165,51,33.353,-79.105,7,1989,0.132555367484384
1989167,51,33.347,-79.12,8,1989,0
1989177,51,33.325,-79.12,7,1989,0.0172814775737657
1989179,51,33.302,-79.122,9,1989,0
1989181,49,33.22,-79.138,7,1989,0
1989183,49,33.2,-79.113,8,1989,0
1989197,35,31.378,-81.157,7,1989,0
