Dataset: Southeast US Summer,,,,,,
Species Name: Loligo squid (Loligo spp.),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
1989213,53,33.785,-78.682,9,1989,0.0087531167427354
1989215,53,33.79,-78.642,9,1989,0
1989217,53,33.82,-78.557,8,1989,0
1989219,55,33.887,-78.342,8,1989,0
1989221,55,33.783,-77.965,7,1989,0
1989223,55,33.625,-77.872,7,1989,4.38337317167585
1989225,57,33.712,-77.885,8,1989,0.0609400759087099
1989227,57,33.735,-77.897,7,1989,0.0977653671036217
1989229,67,35.093,-75.933,7,1989,0
1989231,65,34.983,-76.108,8,1989,0
1989233,65,34.792,-76.343,7,1989,0
1989235,63,34.508,-76.495,7,1989,0.0141648667110094
1989237,63,34.653,-76.617,7,1989,0
1989239,61,34.608,-77.122,9,1989,0
1989241,59,34.048,-77.88,9,1989,0.0031074496632052
1989243,57,33.913,-77.908,6,1989,0.0208733844659258
1989245,51,33.438,-79.048,8,1989,2.46170453538733
1989247,51,33.38,-79.112,8,1989,0
1989249,51,33.353,-79.108,8,1989,0.194785559089648
1989251,51,33.347,-79.117,8,1989,0.456386814606676
1989253,51,33.322,-79.12,8,1989,0.155532719382301
1989255,51,33.303,-79.122,8,1989,0
1989257,49,33.222,-79.132,7,1989,0
1989259,49,33.198,-79.117,7,1989,0
1989261,49,33.138,-79.148,6,1989,0
1989263,49,33.05,-79.102,7,1989,1.06784677984111
1989265,49,32.998,-79.267,9,1989,0.308293691328312
1989267,47,32.913,-79.433,8,1989,0.036475850574008
1989269,47,32.842,-79.647,7,1989,0
1989271,47,32.807,-79.673,7,1989,0
1989273,45,32.597,-79.95,5,1989,0
1989275,43,32.395,-80.272,9,1989,0.075519438964394
1989277,43,32.397,-80.287,7,1989,0.0298671317083261
1989281,41,32.277,-80.467,5,1989,0.001305405248559
1989283,41,32.237,-80.532,6,1989,0.002723600282676
1989285,33,31.052,-81.288,9,1989,0.491233499704921
1989287,33,30.925,-81.305,9,1989,1.60676798319975
1989289,33,30.887,-81.31,9,1989,2.42468347628197
1989291,31,30.787,-81.387,5,1989,0
1989293,31,30.752,-81.435,6,1989,0
1989295,29,30.33,-81.382,7,1989,0
1989297,21,28.925,-80.808,7,1989,0
1989299,23,28.947,-80.822,9,1989,0
1989301,25,29.232,-80.997,6,1989,0
1989303,27,29.598,-81.17,8,1989,0
1989305,35,31.297,-81.195,8,1989,0.0098680895816128
1989307,35,31.372,-81.162,9,1989,0.676965614255331
1989309,37,31.422,-81.115,10,1989,0.593353110578687
1989311,37,31.587,-81.09,6,1989,0
1989313,37,31.583,-81.07,7,1989,0.0528233359573116
